new_time,year,month,day,time
1752-03-26,1752,March,26,1752-03-26
1752-04-02,1752,April,2,1752-04-01
1752-04-09,1752,April,9,1752-04-09
1752-04-16,1752,April,16,1752-04-16
1752-04-23,1752,April,23,1752-04-23
1752-04-30,1752,April,30,1752-04-30
1752-05-07,1752,May,7,1752-05-01
1752-05-14,1752,May,14,1752-05-14
1752-05-21,1752,May,21,1752-05-21
1752-05-28,1752,May,28,1752-05-28
1752-06-04,1752,June,4,1752-06-01
1752-06-11,1752,June,11,1752-06-11
1752-06-18,1752,June,18,1752-06-18
1752-06-25,1752,June,25,1752-06-25
1752-07-02,1752,July,2,1752-07-01
1752-07-09,1752,July,9,1752-07-09
1752-07-16,1752,July,16,1752-07-16
1752-07-23,1752,July,23,1752-07-23
1752-07-30,1752,July,30,1752-07-30
1752-08-06,1752,August,6,1752-08-01
1752-08-13,1752,August,13,1752-08-13
1752-08-20,1752,August,20,1752-08-20
1752-08-27,1752,August,27,1752-08-27
1752-09-03,1752,September,3,1752-09-01
1752-09-10,1752,September,10,1752-09-10
1752-09-17,1752,September,17,1752-09-17
1752-09-24,1752,September,24,1752-09-24
1752-10-01,1752,October,1,1752-10-01
1752-10-08,1752,October,8,1752-10-08
1752-10-15,1752,October,15,1752-10-15
1752-10-22,1752,October,22,1752-10-22
1752-10-29,1752,October,29,1752-10-29
1752-11-05,1752,November,5,1752-11-01
1752-11-12,1752,November,12,1752-11-12
1752-11-19,1752,November,19,1752-11-19
1752-11-26,1752,November,26,1752-11-26
1752-12-03,1752,December,3,1752-12-01
1752-12-10,1752,December,10,1752-12-10
1752-12-17,1752,December,17,1752-12-17
1752-12-24,1752,December,24,1752-12-24
1752-12-31,1752,December,31,1752-12-31
1753-01-07,1753,January,7,1753-01-01
1753-01-14,1753,January,14,1753-01-14
1753-01-21,1753,January,21,1753-01-21
1753-01-28,1753,January,28,1753-01-28
1753-02-04,1753,February,4,1753-02-01
1753-02-11,1753,February,11,1753-02-11
1753-02-18,1753,February,18,1753-02-18
1753-02-25,1753,February,25,1753-02-25
1753-03-04,1753,March,4,1753-03-01
1753-03-11,1753,March,11,1753-03-11
1753-03-18,1753,March,18,1753-03-18
1753-03-25,1753,March,25,1753-03-25
1753-04-01,1753,April,1,1753-04-01
1753-04-08,1753,April,8,1753-04-08
1753-04-15,1753,April,15,1753-04-15
1753-04-22,1753,April,22,1753-04-22
1753-04-29,1753,April,29,1753-04-29
1753-05-06,1753,May,6,1753-05-01
1753-05-13,1753,May,13,1753-05-13
1753-05-20,1753,May,20,1753-05-20
1753-05-27,1753,May,27,1753-05-27
1753-06-03,1753,June,3,1753-06-01
1753-06-10,1753,June,10,1753-06-10
1753-06-17,1753,June,17,1753-06-17
1753-06-24,1753,June,24,1753-06-24
1753-07-01,1753,July,1,1753-07-01
1753-07-08,1753,July,8,1753-07-08
1753-07-15,1753,July,15,1753-07-15
1753-07-22,1753,July,22,1753-07-22
1753-07-29,1753,July,29,1753-07-29
1753-08-05,1753,August,5,1753-08-01
1753-08-12,1753,August,12,1753-08-12
1753-08-19,1753,August,19,1753-08-19
1753-08-26,1753,August,26,1753-08-26
1753-09-02,1753,September,2,1753-09-01
1753-09-09,1753,September,9,1753-09-09
